Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
77,Jeff Green,C,33,HOU,12,0,28.4,4.3,8.6,0.495,1.9,4.5,0.426,2.3,4.1,0.571,0.607,1.2,1.4,0.824,0.4,4.6,5,1.6,0.5,0.5,1.3,2.3,11.6
78,Donta Hall,C,22,BRK,3,0,6.7,1,1.7,0.6,0,0,,1,1.7,0.6,0.6,0.3,1.3,0.25,1,0.7,1.7,0,0,0.7,0.3,0.3,2.3
79,Tim Hardaway Jr.,SG,27,DAL,6,6,34,6.7,15.8,0.421,3.2,9,0.352,3.5,6.8,0.512,0.521,1.3,1.8,0.727,0.5,3,3.5,1.8,0.3,0,0.5,2.7,17.8
80,James Harden,SG,30,HOU,12,12,37.3,9.1,19,0.478,3.3,9.8,0.333,5.8,9.3,0.631,0.564,8.2,9.7,0.845,1,4.6,5.6,7.7,1.5,0.8,3.8,3.6,29.6
81,Montrezl Harrell,C,26,LAC,13,0,18.7,3.6,6.3,0.573,0.1,0.4,0.2,3.5,5.9,0.597,0.579,3.2,5.2,0.603,0.8,2.1,2.9,0.4,0.4,0.5,0.9,2.2,10.5
82,Gary Harris,SG,25,DEN,14,12,27.1,2.4,6.4,0.378,1.4,3.7,0.365,1.1,2.7,0.395,0.483,1.2,1.6,0.773,0.5,1.5,2,1.7,1.1,0.3,1.5,3.2,7.4
83,Joe Harris,SF,28,BRK,2,2,36,6,11.5,0.522,3.5,6,0.583,2.5,5.5,0.455,0.674,1,2,0.5,1,9,10,1,0.5,0,1.5,4.5,16.5
84,Tobias Harris,PF,27,PHI,4,4,37.3,5.8,15,0.383,0.5,3.8,0.133,5.3,11.3,0.467,0.4,3.8,4.8,0.789,3.5,6,9.5,4,0.5,0.3,1.3,2.8,15.8
85,Gordon Hayward,SF,29,BOS,5,1,31.4,4,10,0.4,1.4,4.8,0.292,2.6,5.2,0.5,0.47,1.4,1.6,0.875,0.6,3.4,4,2.8,1.4,0.4,1.4,2,10.8
86,Tyler Herro,SG,20,MIA,21,5,33.6,5.7,13.2,0.433,2.3,6.1,0.375,3.4,7.1,0.483,0.52,2.2,2.6,0.87,0.3,4.8,5.1,3.7,0.4,0.1,2,1.5,16
87,Mario Hezonja,PF,24,POR,5,0,13.6,1.8,4.4,0.409,0.4,1.4,0.286,1.4,3,0.467,0.455,0.6,0.8,0.75,0.4,2.8,3.2,1.2,0.6,0,0.6,1.6,4.6
88,George Hill,PG,33,MIL,10,1,26.8,3.2,6.7,0.478,1,2.8,0.357,2.2,3.9,0.564,0.552,2.1,2.6,0.808,0.5,1.9,2.4,3.1,0.6,0,1.6,1.7,9.5
89,Solomon Hill,PF,28,MIA,7,0,6,0.7,1.3,0.556,0.3,0.9,0.333,0.4,0.4,1,0.667,0,0,,0.1,0.9,1,0.4,0.1,0,0,0.7,1.7
90,Jaylen Hoard,PF,20,POR,3,0,13.7,2.3,4,0.583,0,0,,2.3,4,0.583,0.583,0,0,,1.7,1.3,3,0.3,0,0,0.7,1.7,4.7
91,Aaron Holiday,PG,23,IND,4,2,18,3,5.3,0.571,1,2.3,0.444,2,3,0.667,0.667,0.8,1.3,0.6,0.3,1,1.3,2.5,1,0,1,2.5,7.8
92,Justin Holiday,SF,30,IND,4,2,32.8,2.5,5.3,0.476,2,4,0.5,0.5,1.3,0.4,0.667,0.3,0.8,0.333,1,2.8,3.8,0.8,1.5,1.3,0.8,2,7.3
93,Rondae Hollis-Jefferson,PF,25,TOR,5,0,7.8,0.8,2,0.4,0,0.2,0,0.8,1.8,0.444,0.4,1.2,1.6,0.75,1,1,2,0.6,0.4,0.2,0.2,1,2.8
94,Al Horford,C,33,PHI,4,3,32.3,3,6.3,0.48,0,1,0,3,5.3,0.571,0.48,1,1.8,0.571,2.3,5,7.3,2.3,0.3,1.3,0.8,3.5,7
95,Talen Horton-Tucker,SG,19,LAL,2,0,8.5,3,6,0.5,1,2.5,0.4,2,3.5,0.571,0.583,0,0,,0,2.5,2.5,0,1,0,0,2,7
96,Danuel House Jr.,SF,26,HOU,9,4,31,4.1,9.4,0.435,2.1,5.9,0.358,2,3.6,0.563,0.547,1.1,1.4,0.769,1.1,4.7,5.8,1.4,0.9,0,0.8,2.4,11.4
97,Dwight Howard,C,34,LAL,18,7,15.7,2.2,3.2,0.684,0.1,0.1,0.5,2.1,3.1,0.691,0.693,1.4,2.5,0.556,1.8,2.8,4.6,0.5,0.4,0.4,0.9,3.1,5.8
98,Serge Ibaka,C,30,TOR,11,0,22.8,5.7,10,0.573,2.1,4.1,0.511,3.6,5.9,0.615,0.677,1.3,1.3,1,1.5,6.2,7.7,1.2,0.2,1.3,1.1,2.5,14.8
99,Andre Iguodala,SF,36,MIA,21,0,19.5,1.4,3.1,0.462,0.7,1.9,0.359,0.8,1.2,0.615,0.569,0.2,0.3,0.714,0.5,2,2.6,1.5,0.8,0.6,0.7,2.1,3.8
100,Ersan İlyasova,PF,32,MIL,3,0,7.7,1,3,0.333,0.3,1.7,0.2,0.7,1.3,0.5,0.389,0.7,0.7,1,0,1.3,1.3,0,0.7,0,0.3,1,3
101,Joe Ingles,PF,32,UTA,7,7,33.4,3.1,7.7,0.407,2,5.7,0.35,1.1,2,0.571,0.537,0.9,0.9,1,0.1,3.3,3.4,4.7,0.6,0.1,0.6,2.1,9.1
102,Wes Iwundu,SF,25,ORL,5,0,15.2,1.2,4,0.3,0.8,1.4,0.571,0.4,2.6,0.154,0.4,1,1.6,0.625,0.2,2,2.2,0.8,0.6,0.4,0.6,1,4.2
103,Justin Jackson,PF,24,DAL,3,0,5.3,0.3,2,0.167,0,1,0,0.3,1,0.333,0.167,0.7,1.3,0.5,0,1,1,0,0,0,0,0.3,1.3
104,Reggie Jackson,SG,29,LAC,12,1,14.2,1.8,4,0.438,1.4,2.7,0.531,0.3,1.3,0.25,0.615,0,0,,0.2,1.6,1.8,0.9,0.2,0.1,0.4,1.5,4.9
105,LeBron James,SF,35,LAL,21,21,36.3,10.2,18.2,0.56,2.1,5.7,0.37,8.1,12.5,0.646,0.618,5.1,7.1,0.72,1.3,9.4,10.8,8.8,1.2,0.9,4,1.9,27.6
106,Alize Johnson,PF,23,IND,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
107,B.J. Johnson,SF,24,ORL,1,0,4,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,2,2,0,0,0,0,0,3
108,Stanley Johnson,PF,23,TOR,3,0,6.7,1.7,3.7,0.455,0.7,1.7,0.4,1,2,0.5,0.545,0.3,0.3,1,0.3,1,1.3,2,0,0,0.3,1,4.3
109,Tyler Johnson,SG,27,BRK,4,2,23.3,5.3,11.5,0.457,2.8,7,0.393,2.5,4.5,0.556,0.576,0.5,0.5,1,0,1.8,1.8,2.3,0,0.3,0.8,2.8,13.8
110,Nikola Jokić,C,24,DEN,19,19,36.5,9.4,18.1,0.519,2.2,5.2,0.429,7.2,12.9,0.555,0.58,3.5,4.2,0.835,1.9,7.9,9.8,5.7,1.1,0.8,3.3,3.6,24.4
111,Derrick Jones Jr.,SF,22,MIA,15,0,6.5,0.5,1.1,0.471,0.3,0.6,0.444,0.3,0.5,0.5,0.588,0.1,0.3,0.4,0.4,0.4,0.8,0.5,0.4,0.3,0.1,0.8,1.5
112,Michael Kidd-Gilchrist,PF,26,DAL,6,0,9.2,0.7,2.3,0.286,0.3,1.5,0.222,0.3,0.8,0.4,0.357,0.7,1,0.667,0.3,0.7,1,0.5,0.2,0.2,0.2,1.3,2.3
113,Maxi Kleber,PF,28,DAL,6,6,33.8,2.2,6.5,0.333,0.8,4.3,0.192,1.3,2.2,0.615,0.397,1.5,2,0.75,1.7,4.8,6.5,1.5,0.3,1.2,0.7,3.3,6.7
114,Furkan Korkmaz,SG,22,PHI,4,0,10,0,1.8,0,0,1.5,0,0,0.3,0,0,0.8,1.3,0.6,0,1.5,1.5,0.5,0.3,0,0.5,0.8,0.8
115,Kyle Korver,SF,38,MIL,10,0,11.9,2,4.7,0.426,1.5,3.7,0.405,0.5,1,0.5,0.585,0.7,0.7,1,0.1,0.7,0.8,0.1,0.3,0.1,0.5,0.9,6.2
116,Rodions Kurucs,PF,21,BRK,4,1,14.5,2.8,5,0.55,0,2,0,2.8,3,0.917,0.55,0,0.5,0,0.8,2.5,3.3,0.8,0.3,0.5,0.8,2.3,5.5
117,Kyle Kuzma,PF,24,LAL,21,0,23,3.7,8.5,0.43,1.2,4,0.313,2.4,4.6,0.531,0.503,1.4,1.8,0.784,0.9,2.2,3.1,0.8,0.3,0.3,1,2.4,10
118,Romeo Langford,SG,20,BOS,7,0,6.6,0.6,1.4,0.4,0.1,0.3,0.5,0.4,1.1,0.375,0.45,0.1,0.3,0.5,0,0.4,0.4,0.3,0.1,0,0.3,0.6,1.4
119,Vic Law,PF,24,ORL,1,0,4,1,1,1,1,1,1,0,0,,1.5,0,0,,0,2,2,1,0,0,0,0,3
120,Kawhi Leonard,SF,28,LAC,13,13,39.3,10.1,20.6,0.489,1.8,5.6,0.329,8.2,15,0.549,0.534,6.2,7.2,0.862,1.8,7.5,9.3,5.5,2.3,0.8,2.5,2.2,28.2
